date,hour,total_grid_purchase,total_grid_feedin,max_feedin_hour
2023-05-22,0,2125602.0,50482.0,False
2023-05-22,1,1420502.0,71651.0,False
2023-05-22,2,1632835.0,118036.0,False
2023-05-22,3,770287.0,343885.0,False
2023-05-22,4,216737.0,572127.0,True
2023-05-22,5,167730.0,127197.0,False
2023-05-22,6,262075.0,11423.0,False
2023-05-22,7,873026.0,5184.0,False
2023-05-22,8,1600957.0,3203.0,False
2023-05-22,9,1258449.0,3477.0,False
2023-05-22,10,1197676.0,2686.0,False
2023-05-22,11,1209100.0,2244.0,False
2023-05-22,12,1310424.0,2123.0,False
2023-05-22,13,1144135.0,1122.0,False
2023-05-22,14,1030533.0,1670.0,False
2023-05-22,15,1074337.0,1878.0,False
2023-05-22,16,912995.0,1780.0,False
2023-05-22,17,876819.0,108.0,False
2023-05-22,18,916951.0,73.0,False
2023-05-22,19,911902.0,333.0,False
2023-05-22,20,1113993.0,31.0,False
2023-05-22,21,1380088.0,695.0,False
2023-05-22,22,2216951.0,262.0,False
2023-05-22,23,3178088.0,20843.0,False
